Match index	Player Name	Ping	Kills	Assists	Deaths	MVP	HSP	Score	Map	Duration	Wait time	Date	Match Score
4	swift	19	15	4	17	2	26	38	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	28	14	4	18	0	28	35	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	ãƒ‰ãƒ©ã‚³ã‚¹	65	9	4	20	0	55	23	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	Osaka	14	29	6	13	7	17	72	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Daichi muerto	18	24	2	14	5	50	59	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	SPINNING	35	16	4	14	2	43	59	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	El Rumpy	20	11	4	15	2	18	33	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	Tristeza	15	9	3	18	0	30	22	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	chepa	35	21	2	12	6	40	52	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	âœª CnFJarra	32	22	0	7	5	45	48	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Chino	28	15	8	15	3	26	45	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	PÃºrpura	48	13	3	8	2	28	35	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	katox	31	5	0	15	0	42	10	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	â‘³ ÆŠJÎ½s_	39	21	2	19	0	33	50	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	tortugoxx	5	14	3	18	0	50	31	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	lucas7f4	67	8	3	17	2	62	22	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	Max Power	5	8	2	18	0	11	18	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	SoldierLP KeyDrop.com	0	1	2	9	0	0	4	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	valtjk	48	29	4	18	7	41	69	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	D-E-A-N	46	24	2	17	4	29	59	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	el tio ro el cap KEYDROP	33	23	3	16	3	47	56	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	26	16	7	20	2	43	41	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Make KEYDROP	47	9	9	18	0	44	35	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	Dennis2k02	15	26	6	22	3	46	64	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	nexmra	5	22	5	20	3	59	54	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	Capitan Pingaloca	5	16	6	20	0	31	45	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	ê§à¼ºâ‚¦Ð‡â‚¦â„‘â‚³à¼»ê§‚	27	14	5	19	2	50	43	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	Fueta115	5	11	1	20	0	54	26	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	dimitra	25	21	3	10	6	59	59	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	ð—žð—®ð—°ð—µð—¶	35	20	9	14	5	50	52	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	heaveN	45	18	3	7	2	61	47	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	êœ±É´Éªá´˜á´‡Ê€	46	14	8	10	2	42	46	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	ð—¥ð—²ð—»ð—²â„¢	36	12	4	11	0	66	32	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	tortugoxx	21	13	1	17	2	46	31	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	MANAITOS :D	40	13	2	15	0	30	30	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	Dr WaRp	24	8	2	17	0	55	25	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	YisusCTMÂ®	126	10	4	20	0	30	24	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	Gaboo	31	6	3	18	0	50	17	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	â‚¦4â‚µâ±§1â‚®0Ó¾ ãƒ„ â’¾â’¼â“	5	28	1	18	5	41	64	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	Verkkuu2515	42	24	6	21	4	41	59	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	zlAsasin	5	21	5	25	3	19	49	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	29	18	6	22	2	61	49	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Jugo De Naranja	31	9	2	20	2	33	27	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	uwu	13	27	5	19	2	67	65	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	DON MAMÃ“N	17	23	6	20	0	52	59	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	YA PERDISTE LOCO	45	19	3	21	6	57	55	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	Bayron	31	19	3	22	3	52	50	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	EL QUE LEA ES GAY	11	16	4	20	0	18	41	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	Hookah	0	20	5	19	3	30	49	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	ðŸ§©DrAkOðŸ§©	5	17	5	18	0	35	41	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	LTR	31	13	3	20	0	53	30	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	Lion	47	11	3	16	0	63	25	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	ChAiN Ã‡+Â¡+Ã‡	54	9	1	18	0	22	21	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	tortugoxx	20	29	2	10	7	36	67	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	22:22	23	27	5	13	4	57	67	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	What Happened? âœª	40	15	5	17	2	53	39	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	NikoÂ¯\_(ãƒ„)_/Â¯	41	11	8	16	2	36	39	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	2002	43	7	2	16	0	28	26	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	Ofabim	49	28	2	18	3	50	69	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	tortugoxx	5	23	11	20	3	47	60	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	TSM_SaanMa	0	16	6	20	3	56	39	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	Deagle!	59	12	8	19	0	50	37	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	mas velho	33	8	1	23	0	25	22	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	Chotaro	43	23	8	15	3	39	65	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Nico	130	21	3	17	2	23	53	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	Jotara	106	21	5	17	2	36	51	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	â™¦Â£txeL|23â™¦	39	19	4	20	7	35	50	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	Caster Lumos	45	14	4	20	2	35	38	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	F a b i	14	30	4	21	8	16	76	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	Nxchx	63	22	7	19	2	22	60	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Mister	18	25	5	20	2	20	57	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	YEKINDAR	24	23	3	19	2	21	55	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	iLanChuS	12	16	11	24	2	56	45	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	tortugoxx	6	26	7	21	4	34	71	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Josef	44	24	7	22	4	20	65	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	*CORINGA*	43	20	3	23	2	47	49	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	_-DZO-_	41	17	5	22	0	52	48	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	LUNCHERA	32	15	0	29	2	26	32	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	Buzzcut	0	34	4	21	7	35	83	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	è£…ç”²ãƒ­ãƒœãƒƒãƒˆéŸ³	35	36	3	17	6	33	79	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Â¿? not click Â¿?	39	18	7	25	0	50	46	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	Creme de abacate	48	15	4	19	0	53	45	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Eu sou do Rock ðŸ¤˜	41	13	7	21	2	23	36	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	felipeira	49	23	3	22	4	29	61	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Vortex MaGiT 14	15	22	10	25	3	27	61	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	â›§ yari	27	23	1	23	4	47	50	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	tortugoxx	5	18	6	25	0	55	46	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	CariocaXD	48	16	5	22	2	43	42	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	GOREFEST	30	23	4	11	5	30	62	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	makima god	5	22	4	16	4	54	50	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Pisco a lo Macho	12	19	3	17	3	40	49	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	25	13	5	15	3	46	35	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Gonzalillo	20	11	6	19	0	36	30	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	yiyo	10	27	1	16	3	66	62	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	sKr	17	16	1	18	0	37	37	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	sANjar	5	13	4	18	3	76	30	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	Lhebrown	41	11	2	19	0	45	26	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	MerZii hellcase.org	5	9	4	19	0	60	26	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	tortugoxx	24	30	5	17	7	43	77	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	Ntf-	6	20	8	20	2	30	61	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	DanielloJack1891	41	23	4	19	3	26	54	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	RobertoFB	45	15	8	19	3	41	46	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Sniper Monkey	36	10	5	24	0	40	25	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	$NOT KEYDROP	37	27	4	18	3	33	69	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	IFuruDeI	24	21	7	21	3	33	58	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	Segudp	64	24	8	20	4	33	57	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	Parabola de Neil's	54	12	5	20	0	58	42	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	Felpin	39	13	2	21	0	30	34	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	t3x	61	17	0	5	5	47	39	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	haken_	31	16	3	6	4	18	39	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	elite	43	9	2	10	0	33	21	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	5	6	3	5	2	50	19	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	CP_etroM	62	6	3	8	0	16	18	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	ï¸»ãƒ‡ ä¸€à¸£Ð¸à¹à¹×§Ã½	41	11	1	12	0	45	30	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	MenÃ³ #30	39	10	0	12	0	50	24	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	Pzyclone	79	6	1	13	0	71	14	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	16y.o.talent Sasuke UCHIHA	82	3	1	13	0	50	10	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	nickkkk ãƒ„	0	2	0	6	0	50	4	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	MatyFishã‚·	5	20	3	18	3	20	54	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	martin	33	18	6	22	4	44	46	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Crisds	15	16	3	20	0	31	41	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	A	27	17	1	21	2	64	37	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	rock	17	12	4	23	0	41	31	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	7	15	24	4	14	5	37	67	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Garyrb25	19	19	4	19	2	15	55	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	$CRIM	35	22	7	19	4	18	52	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	migo	6	22	3	13	4	54	48	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	tortugoxx	22	17	6	18	0	41	43	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK	42	21	0	18	0	23	42	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	BOT Harry	10	15	3	17	0	26	33	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	Costa	17	6	3	18	0	0	15	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	DarmSeven	30	4	2	14	0	0	10	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	tortugoxx	0	2	3	12	0	16	7	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	Gustyago	14	22	3	8	4	36	60	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
